GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Kanbanice,com.kanbanice.backend.service.kanban,CompanyService,55,361,9,27,9,87,11,20,2,11
Kanbanice,com.kanbanice.backend.service.kanban,CurrentUserUtil,38,6,8,0,7,1,5,1,1,1
Kanbanice,com.kanbanice.backend.service.kanban,ProjectService,50,409,22,32,6,90,25,23,3,18
Kanbanice,com.kanbanice.backend.service.kanban,BoardService,0,235,4,10,0,53,4,16,0,13
Kanbanice,com.kanbanice.backend.service.kanban,TaskService,9,288,5,13,1,66,5,19,0,15
Kanbanice,com.kanbanice.backend.entity.kanban,KanbanTask.KanbanTaskBuilder,42,43,0,0,0,1,5,6,5,6
Kanbanice,com.kanbanice.backend.entity.kanban,KanbanProject,27,64,1,1,2,11,8,11,7,11
Kanbanice,com.kanbanice.backend.entity.kanban,KanbanBoard.KanbanBoardBuilder,33,34,1,1,0,1,5,4,4,4
Kanbanice,com.kanbanice.backend.entity.kanban,KanbanProject.KanbanProjectBuilder,44,43,2,2,0,1,7,4,5,4
Kanbanice,com.kanbanice.backend.entity.kanban,ProjectMember.ProjectMemberBuilder,18,30,0,0,0,1,2,5,2,5
Kanbanice,com.kanbanice.backend.entity.kanban,KanbanTask,24,77,1,1,2,15,7,15,6,15
Kanbanice,com.kanbanice.backend.entity.kanban,ProjectMember,22,28,0,0,3,5,6,5,6,5
Kanbanice,com.kanbanice.backend.entity.kanban,TaskStatus,0,15,0,0,0,3,0,1,0,1
Kanbanice,com.kanbanice.backend.entity.kanban,ProjectMemberRole,0,15,0,0,0,3,0,1,0,1
Kanbanice,com.kanbanice.backend.entity.kanban,KanbanBoard,19,55,1,1,1,11,6,10,5,10
Kanbanice,com.kanbanice.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
Kanbanice,com.kanbanice.backend.controller,AuthController,0,18,0,0,0,5,0,3,0,3
Kanbanice,com.kanbanice.backend.controller,UserController,78,44,8,4,14,9,11,3,5,3
Kanbanice,com.kanbanice.backend.config,SwaggerConfig,0,32,0,0,0,10,0,2,0,2
Kanbanice,com.kanbanice.backend.config,WebConfig,18,196,0,0,4,26,2,9,2,9
Kanbanice,com.kanbanice.backend.config,SecurityConfig,4,14,0,0,0,4,1,4,1,4
Kanbanice,com.kanbanice.backend.config,SecurityConfig.SecurityConfigBuilder,9,0,0,0,1,0,3,0,3,0
Kanbanice,com.kanbanice.backend.dto.kanban,CompanyResponseDTO,0,12,0,0,0,1,0,1,0,1
Kanbanice,com.kanbanice.backend.dto.kanban,BoardUpdateDTO,0,6,0,0,0,1,0,1,0,1
Kanbanice,com.kanbanice.backend.dto.kanban,ProjectMemberResponseDTO,0,15,0,0,0,1,0,1,0,1
Kanbanice,com.kanbanice.backend.dto.kanban,CompanyCreateDTO,0,6,0,0,0,1,0,1,0,1
Kanbanice,com.kanbanice.backend.dto.kanban,TaskCreateDTO,0,12,0,0,0,1,0,1,0,1
Kanbanice,com.kanbanice.backend.dto.kanban,ProjectResponseDTO,0,18,0,0,0,1,0,1,0,1
Kanbanice,com.kanbanice.backend.dto.kanban,BoardCreateDTO,0,6,0,0,0,1,0,1,0,1
Kanbanice,com.kanbanice.backend.dto.kanban,BoardResponseDTO,0,15,0,0,0,1,0,1,0,1
Kanbanice,com.kanbanice.backend.dto.kanban,WorkerRequestDTO,0,10,0,0,0,4,0,3,0,3
Kanbanice,com.kanbanice.backend.dto.kanban,ProjectCreateDTO,0,6,0,0,0,1,0,1,0,1
Kanbanice,com.kanbanice.backend.dto.kanban,TaskResponseDTO,0,27,0,0,0,1,0,1,0,1
Kanbanice,com.kanbanice.backend.dto.kanban,CompanyUpdateDTO,0,6,0,0,0,1,0,1,0,1
Kanbanice,com.kanbanice.backend.dto.kanban,TaskUpdateDTO,0,12,0,0,0,1,0,1,0,1
Kanbanice,com.kanbanice.backend.entity,UserPrinciple,12,17,0,0,5,6,5,4,5,4
Kanbanice,com.kanbanice.backend.entity,User,39,163,0,0,5,23,11,31,11,31
Kanbanice,com.kanbanice.backend.entity,Company,11,36,0,0,1,6,3,7,3,7
Kanbanice,com.kanbanice.backend.entity,User.UserBuilder,73,97,1,1,0,1,8,12,7,12
Kanbanice,com.kanbanice.backend.entity,Auditor,36,0,0,0,7,0,7,0,7,0
Kanbanice,com.kanbanice.backend.entity,Company.CompanyBuilder,22,25,1,1,0,1,4,3,3,3
Kanbanice,com.kanbanice.backend.entity,Role,14,3,0,0,3,1,4,1,4,1
Kanbanice,com.kanbanice.backend.controller.kanban,ProjectController,31,6,0,0,6,1,5,1,5,1
Kanbanice,com.kanbanice.backend.controller.kanban,CompanyController,37,6,0,0,9,1,6,1,6,1
Kanbanice,com.kanbanice.backend.controller.kanban,TaskController,33,6,0,0,6,1,5,1,5,1
Kanbanice,com.kanbanice.backend.controller.kanban,BoardController,27,6,0,0,5,1,4,1,4,1
Kanbanice,com.kanbanice.backend.dto,UserRequestDTO,167,0,30,0,6,0,27,0,12,0
Kanbanice,com.kanbanice.backend.dto,UpdateProfileDto,219,34,46,0,1,7,29,10,6,10
Kanbanice,com.kanbanice.backend.dto,SignupRequestDTO,198,56,46,0,0,8,27,12,4,12
Kanbanice,com.kanbanice.backend.dto,UserResponseDTO,196,15,38,0,6,1,32,1,13,1
Kanbanice,com.kanbanice.backend.dto,ChangePasswordDto,143,24,30,0,1,5,20,7,5,7
Kanbanice,com.kanbanice.backend.dto,LoginRequestDTO,98,26,22,0,0,5,15,6,4,6
Kanbanice,com.kanbanice.backend.dto,LoginResponseDTO,109,15,22,0,2,3,18,3,7,3
Kanbanice,com.kanbanice.backend.dto,UserProfileResponseDTO,259,39,54,0,2,7,38,7,11,7
Kanbanice,com.kanbanice.backend.dto,SignupResponseDTO,109,15,22,0,2,3,18,3,7,3
Kanbanice,com.kanbanice.backend.entity.type,AuthProviderType,0,27,0,0,0,5,0,1,0,1
Kanbanice,com.kanbanice.backend.entity.type,RoleType,0,21,0,0,0,4,0,1,0,1
Kanbanice,com.kanbanice.backend.entity.type,UserType,0,15,0,0,0,3,0,1,0,1
Kanbanice,com.kanbanice.backend.entity.type,PermissionType,0,140,0,0,0,20,0,3,0,3
Kanbanice,com.kanbanice.backend.security,AuthUtil,65,77,11,2,13,22,9,7,2,6
Kanbanice,com.kanbanice.backend.security,CustomUserDetailsService,0,21,0,0,0,3,0,3,0,3
Kanbanice,com.kanbanice.backend.security,OAuth2successHandler,50,6,2,0,18,1,2,1,1,1
Kanbanice,com.kanbanice.backend.security,AuthService,106,164,13,9,19,37,9,7,1,4
Kanbanice,com.kanbanice.backend.security,JwtAuthFilter,6,114,10,14,2,27,10,6,0,4
Kanbanice,com.kanbanice.backend.security,RolePermissionMapping,17,183,0,0,3,10,3,3,3,3
Kanbanice,com.kanbanice.backend.service,UserService,180,372,29,35,42,76,24,24,4,12
Kanbanice,com.kanbanice.backend.service.impl,EmailServiceImpl,189,0,0,0,44,0,7,0,7,0
Kanbanice,com.kanbanice.backend.exception,BadRequestException,4,0,0,0,2,0,1,0,1,0
Kanbanice,com.kanbanice.backend.exception,UnauthorizedException,4,0,0,0,2,0,1,0,1,0
Kanbanice,com.kanbanice.backend.exception,IOException,4,0,0,0,2,0,1,0,1,0
Kanbanice,com.kanbanice.backend.exception,ErrorDetails,145,24,30,0,1,10,22,5,7,5
Kanbanice,com.kanbanice.backend.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
Kanbanice,com.kanbanice.backend.exception,GlobalExceptionHandler,150,30,0,0,28,5,11,3,11,3
